MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
3958,0,75,7,0,52,89,0,225
3959,0,272,49,3,150,445,7,929
3960,4,596,85,9,257,1170,12,2138
3962,3,261,22,3,79,413,10,789
3964,0,42,0,3,11,55,0,118
3965,0,49,3,7,16,123,0,199
3966,0,142,23,0,69,201,4,441
3967,0,20,10,0,18,53,3,107
3971,0,1039,116,24,356,1886,26,3453
3975,929,5339,52,22,764,3973,60,11140
3976,966,8400,93,64,965,9171,107,19770
3977,3144,34546,379,224,5040,26899,383,70620
3978,500,4114,52,25,636,2457,55,7838
3979,0,90,13,3,50,82,3,239
3980,35,1303,20,4,253,1002,26,2648
3981,33,1752,64,10,411,1580,34,3889
3984,38,1509,55,6,402,2350,33,4396
3987,9,514,12,5,135,504,12,1196
3988,3,304,33,6,138,323,8,807
3990,0,36,0,3,24,29,0,99
3991,0,112,7,0,44,153,4,313
3992,3,318,14,0,121,318,5,782
3995,32,2712,203,16,700,4764,63,8489
3996,17,1448,90,10,465,2553,35,4620
4000,1399,2424,3901,76,1105,6655,86,15649
4005,2279,4998,1849,96,1392,5747,59,16417
4006,1969,3276,2398,72,992,5034,39,13784
4007,1057,4523,379,89,1058,3972,48,11121
4008,10,110,3,0,14,193,6,336
4009,0,4,0,0,0,0,0,4
4010,374,693,111,9,199,653,8,2055
4011,1537,5128,314,64,1235,4319,57,12649
4012,2605,7478,497,78,1607,5864,79,18206
4013,603,1498,68,21,359,1244,21,3814
4014,1009,3982,216,31,834,3519,52,9634
4017,2462,12184,391,85,2548,11916,117,29707
4018,1058,3975,107,26,745,3981,49,9935
4019,617,6317,245,56,1328,8088,72,16725
4020,620,6610,304,74,1449,9773,77,18913
4021,263,2965,139,37,503,3960,41,7904
4022,157,2100,64,20,349,3047,26,5770
4025,4,31,123,3,37,143,3,349
4029,0,0,0,0,0,68,0,69
4030,2336,5315,482,58,1318,4396,58,13964
4031,1319,4933,271,34,1059,3372,45,11023
4032,1214,4635,496,49,956,6033,66,13442
4034,3191,14367,507,115,3007,15326,168,36675
4035,1160,9177,187,76,1852,6894,63,19410
4036,428,2302,36,14,420,1928,30,5157
4037,318,3216,52,25,691,1713,22,6037
4051,2900,8967,1341,83,2178,6852,87,22411
4053,3227,15332,763,108,3288,12725,123,35565
4054,968,4268,153,33,1055,4267,50,10794
4055,1630,6896,193,51,1661,5397,41,15871
4059,1304,3471,870,43,1006,4913,48,11661
4060,1006,4405,363,36,1089,3239,31,10176
4061,1157,5336,282,40,1366,4920,37,13136
4064,1194,3376,901,38,973,2741,20,9248
4065,708,3054,299,39,890,2367,17,7370
4066,2072,4461,1085,61,1450,5609,40,14776
4067,819,1698,639,18,706,5467,13,9353
4068,2619,6281,939,92,1934,8261,70,20194
4069,1767,10613,617,83,3022,10594,97,26790
4070,664,4053,113,21,985,3091,27,8958
4072,121,153,151,3,259,1452,4,2146
4073,628,3137,114,21,687,2550,31,7168
4074,1403,8626,298,67,1808,6854,56,19120
4075,2285,6995,488,73,1735,6876,63,18504
4076,330,1455,64,9,256,5020,29,7160
4077,1042,8061,183,59,1112,13165,166,23783
4078,1368,9059,168,62,1515,7743,74,19991
4101,2654,4961,2843,95,1653,7969,67,20242
4102,951,1738,660,28,537,2888,11,6804
4103,1730,4280,801,36,1161,4477,42,12527
4104,609,1987,207,17,487,2312,9,5630
4105,1220,4395,288,30,1052,4032,31,11054
4106,101,497,41,0,102,588,9,1337
4107,491,2041,116,20,414,1993,17,5094
4108,505,1766,76,20,295,2419,33,5119
4109,2594,10470,531,89,2068,16178,131,32070
4110,474,3401,119,19,546,4038,45,8635
4111,92,312,37,4,83,532,3,1061
4112,435,2636,39,15,438,2559,30,6147
4113,2320,9495,336,64,1706,10601,89,24613
4114,758,6728,193,55,863,13372,162,22124
4115,1107,7111,86,42,1222,5519,54,15142
4116,1583,9036,109,67,1416,8125,83,20415
4117,40,514,4,0,68,373,7,1001
4118,834,11564,170,88,1729,8950,141,23480
4119,301,2275,31,14,380,1834,24,4867
4120,1206,2891,416,31,709,2471,27,7751
4121,2044,8254,559,64,1928,7016,60,19930
4122,3062,13842,639,101,2975,15101,130,35842
4123,1015,6689,111,50,1258,5380,58,14563
4124,392,7416,90,55,1145,5843,74,15025
4125,115,2470,39,8,422,2901,24,5976
4127,937,8935,199,60,1584,8994,115,20838
4128,630,6700,101,49,1181,4551,71,13272
4129,173,2452,29,17,413,1722,21,4828
4130,255,3464,52,26,701,2351,30,6886
4131,338,3206,90,19,438,3948,37,8088
4132,533,7949,133,51,936,8981,114,18692
4133,342,6049,92,45,972,6259,80,13835
4151,1934,5554,414,48,1326,4413,57,13746
4152,3516,15732,530,123,3379,12992,141,36422
4153,254,1741,35,13,307,1132,11,3486
4154,506,4088,83,30,912,2187,46,7855
4155,31,508,16,4,149,458,0,1168
4156,159,1147,25,3,255,857,18,2466
4157,573,7483,184,48,1400,5767,41,15491
4158,196,1318,21,11,271,1238,18,3075
4159,568,5320,108,50,1035,4675,27,11773
4160,792,6692,154,70,1403,5557,62,14726
4161,525,6439,119,38,1075,4746,57,12995
4163,448,4816,203,54,1015,6106,46,12695
4164,426,5760,124,46,1119,4108,45,11626
4165,791,13684,228,88,2581,11628,120,29119
4169,1880,4197,1008,66,1067,4571,47,12836
4170,2499,8693,592,90,2028,5980,70,19959
4171,1625,5150,411,61,1410,3936,53,12641
4172,374,1578,83,12,302,1080,9,3440
4173,472,3143,73,12,575,2424,40,6736
4174,135,920,37,10,143,603,12,1865
4178,1466,8360,322,79,1762,8450,78,20514
4179,1026,6611,258,77,1355,6062,55,15428
4183,84,451,106,12,167,926,11,1760
4184,636,554,68,24,347,4490,27,6153
4205,129,1458,30,6,219,2683,8,4542
4207,1147,18462,375,129,3051,19771,236,43174
4208,372,7598,126,66,1360,5109,84,14707
4209,998,18669,274,128,3095,12624,162,35946
4210,264,7893,99,55,1322,5278,60,14967
4211,910,23235,398,195,4026,19350,237,48352
4212,404,10091,202,136,2085,10289,99,23302
4213,322,11034,186,99,2268,8746,105,22763
4214,663,13897,440,112,2363,13132,139,30746
4215,1722,14811,1411,189,2918,22430,217,43705
4216,582,12283,450,141,2467,16164,137,32223
4217,1718,12073,1952,223,3046,16938,173,36127
4218,941,11370,979,141,2495,11383,156,27462
4220,627,11583,589,97,2308,10828,140,26159
4221,401,9764,340,80,1926,9368,120,22007
4222,0,0,0,0,0,0,0,0
4223,148,4971,182,37,1097,4773,65,11278
4224,90,2363,107,22,493,2400,34,5514
4225,124,2253,322,32,546,3770,34,7085
4226,561,11637,374,111,2415,11432,124,26656
4227,417,8161,295,55,1548,6606,47,17130
4228,41,1964,39,13,484,1685,28,4249
4229,7,34,8,0,33,295,0,383
4230,49,559,74,3,135,672,0,1487
4270,35,1488,21,13,343,1250,22,3175
4271,24,875,30,9,274,1136,19,2364
4272,33,1251,64,18,459,1998,17,3842
4275,26,1187,87,12,317,1130,25,2779
4280,233,6432,98,53,1134,4870,66,12891
4285,128,6621,223,55,1424,7344,102,15895
4287,4,179,17,3,69,418,0,696
4300,2397,19970,322,125,3147,15076,242,41276
4301,779,9118,105,58,1299,8786,124,20267
4303,123,777,32,9,142,1995,13,3083
4304,600,5177,132,37,907,6981,68,13898
4305,1486,20210,602,120,3257,22839,202,48709
4306,723,13170,325,97,2680,10979,131,28111
4307,14,564,34,7,165,468,10,1258
4309,4,926,52,4,273,1102,13,2385
4310,30,1735,84,21,467,2404,35,4780
4311,68,2852,101,28,700,4518,68,8333
4312,10,536,54,8,199,1437,11,2262
4313,6,534,49,9,188,1119,12,1921
4340,97,1657,74,16,402,2126,21,4381
4341,100,4310,120,34,992,5895,77,11517
4342,18,796,35,9,209,1069,9,2143
4343,48,3664,152,32,705,4707,49,9356
4344,5,908,35,11,191,904,12,2070
4345,0,19,8,0,33,260,0,323
4346,7,303,12,0,71,295,6,692
4347,5,347,22,0,102,479,15,968
4350,532,37564,1985,236,6208,39205,361,86094
4352,90,10729,309,77,2313,8029,132,21677
4353,0,92,6,0,44,93,0,229
4354,6,373,26,6,87,446,8,944
4355,7,596,43,7,230,1283,12,2187
4356,11,1653,122,21,459,1803,19,4080
4357,5,725,52,3,233,1071,17,2110
4358,0,786,44,6,212,663,15,1736
4359,4,435,12,8,139,420,4,1013
4360,0,190,11,4,59,198,7,472
4361,0,682,68,22,299,1092,25,2188
4362,0,689,59,8,240,996,11,2009
4363,0,199,4,4,73,198,0,489
4364,0,69,3,0,37,59,0,169
4365,0,112,17,4,36,258,5,436
4370,60,5808,339,61,1196,7222,105,14792
4371,3,229,12,10,80,251,4,585
4372,0,61,3,0,16,53,0,131
4373,3,278,34,0,69,470,9,871
4374,0,115,12,0,23,165,0,316
4376,0,66,14,6,21,162,3,270
4378,0,139,10,4,55,201,6,416
4381,0,164,21,0,53,251,0,491
4382,0,129,24,6,75,196,0,431
4384,0,11,0,0,11,26,0,46
4387,0,392,51,3,102,507,3,1055
4388,0,79,8,0,43,188,0,315
4390,26,2488,178,21,504,2058,50,5330
4400,4,710,9,11,141,595,4,1470
4401,12,1869,147,20,413,1992,44,4501
4402,3,49,9,0,35,150,0,250
4403,0,202,40,7,141,225,11,619
4404,0,179,24,4,93,108,4,415
4405,70,4860,378,52,1016,4679,62,11124
4406,9,337,60,22,282,436,7,1149
4407,4,140,32,3,74,181,7,437
4408,0,166,15,3,89,229,3,503
4410,0,245,40,8,113,538,11,954
4411,0,69,7,0,42,88,0,203
4412,5,63,6,0,28,51,0,150
4413,49,2410,169,41,658,2761,49,6115
4415,11,587,83,12,153,691,9,1546
4416,6,159,19,6,89,124,0,398
4417,0,187,31,4,104,197,5,523
4418,0,26,10,0,18,27,0,93
4419,17,298,59,11,154,267,7,811
4420,0,328,67,19,196,325,11,951
4421,4,409,95,0,120,1430,6,2070
4422,0,109,30,7,82,133,4,368
4423,0,37,21,6,59,25,3,150
4424,0,70,4,4,34,62,0,170
4425,0,50,4,0,41,65,0,165
4426,0,36,8,0,21,38,0,102
4427,0,71,20,3,40,159,0,298
4428,3,204,16,3,103,184,4,520
4454,5,207,42,8,113,200,14,582
4455,40,3189,294,45,648,2293,70,6567
4461,0,15,8,0,12,12,0,45
4462,0,22,6,0,17,47,0,90
4465,0,345,60,19,149,407,6,986
4467,0,47,9,0,57,44,0,160
4468,0,45,20,3,59,80,3,214
4470,10,1210,144,18,271,1124,22,2808
4472,0,379,86,9,191,507,9,1188
4474,0,20,8,0,23,20,5,78
4475,0,0,0,0,0,0,0,0
4477,0,124,17,4,65,151,7,372
4478,0,113,62,7,65,126,3,381
4479,0,3,0,0,4,5,0,15
4480,3,236,75,16,80,176,9,602
4481,0,23,28,3,22,23,0,102
4482,3,36,33,0,16,35,0,127
4486,0,175,47,5,111,245,0,584
4487,8,1045,137,16,303,868,33,2399
4488,0,59,17,7,43,76,0,206
4489,0,22,5,4,7,38,4,89
4490,4,375,72,10,134,536,6,1137
4491,0,19,9,5,25,21,0,83
4492,0,87,44,5,44,59,4,245
4493,0,7,7,0,0,9,0,22
4494,0,27,16,4,36,30,3,102
4496,3,72,16,0,38,71,4,199
4497,0,96,6,0,69,74,0,260
4498,0,75,13,0,31,43,0,162
4500,2000,15517,362,107,3050,11769,139,32950
4501,329,1807,52,17,319,2060,14,4606
4502,598,3010,60,27,590,2426,28,6742
4503,1715,15786,249,111,2758,12896,144,33652
4504,847,6772,90,52,1358,4422,60,13606
4505,654,7142,113,46,1375,7091,81,16503
4506,614,7217,143,64,1290,7379,90,16789
4507,214,3760,178,58,986,10921,67,16186
4508,409,5707,153,35,964,8196,99,15560
4509,1191,10846,252,99,2018,7374,94,21876
4510,1079,13794,424,116,2586,19930,172,38089
4511,142,2384,51,24,550,4279,36,7457
4512,62,1183,61,14,333,1117,15,2780
4514,62,1987,80,15,555,3448,47,6203
4515,22,1263,57,8,313,1587,21,3278
4516,95,1437,38,6,324,1252,14,3173
4517,18,219,10,0,62,307,5,627
4518,111,1629,79,17,406,1837,30,4113
4519,128,2572,121,25,726,3111,47,6730
4520,587,4383,109,26,1395,3793,55,10338
4521,138,1510,59,19,478,1500,27,3734
4550,58,1456,53,13,290,1581,32,3486
4551,578,17766,727,195,3929,23093,239,46535
4552,92,2034,174,33,873,4024,37,7273
4553,67,2065,49,24,538,1849,49,4640
4554,17,631,21,5,207,632,18,1523
4555,64,2363,89,21,599,2359,26,5513
4556,460,14417,429,169,3418,16267,133,35292
4557,263,7242,338,90,1479,5940,57,15406
4558,257,6338,597,75,1299,8225,79,16870
4559,65,2195,46,33,472,2187,27,5021
4560,248,10262,386,87,2137,12689,126,25934
4561,50,2572,68,33,622,2426,43,5811
4562,55,2501,120,41,852,2824,37,6428
4563,67,2548,96,45,725,3445,46,6972
4564,117,3734,144,53,829,3888,41,8797
4565,152,4301,187,55,1038,6419,53,12203
4566,77,2174,169,50,704,3848,26,7049
4567,137,3387,270,67,1175,4203,62,9303
4568,23,1110,47,15,299,1408,27,2921
4569,11,514,7,3,124,615,15,1294
4570,206,11500,456,110,2861,19069,223,34424
4571,10,171,15,0,90,365,15,666
4572,59,1478,102,14,309,1576,13,3544
4573,277,8809,342,96,2162,8894,103,20686
4574,5,352,37,3,146,543,6,1084
4575,283,8127,349,105,1844,8756,81,19545
4580,7,706,53,10,222,3282,13,4294
4581,5,268,131,18,131,765,8,1325
4600,3,201,13,5,75,436,10,745
4601,8,257,24,8,147,491,9,945
4605,9,985,138,11,250,2245,21,3667
4606,9,642,57,3,160,1126,5,2009
4608,6,248,26,0,101,358,12,751
4610,90,4572,338,33,1058,5601,76,11767
4611,0,22,0,0,14,46,0,89
4612,0,36,10,0,35,126,7,220
4613,0,148,27,6,70,450,18,720
4614,0,196,29,15,69,669,4,987
4615,33,1510,77,17,420,3751,30,5842
4620,0,86,14,0,47,201,3,347
4621,10,352,83,8,132,904,12,1506
4625,3,848,129,17,209,1058,22,2285
4626,61,688,72,9,211,738,18,1793
4627,5,166,34,11,93,374,9,690
4630,12,579,96,15,307,935,25,1966
4650,139,8320,546,68,1729,17147,138,28087
4655,289,14950,686,133,3072,30027,215,49368
4659,19,798,53,17,230,3072,17,4194
4660,22,1631,158,10,445,3850,47,6161
4662,11,157,12,3,20,424,3,623
4670,406,23907,968,165,4027,35429,316,65207
4671,72,1194,85,15,399,3240,51,5057
4673,3,154,12,0,48,317,6,537
4674,6,252,26,7,106,856,4,1256
4676,0,29,0,3,18,86,0,137
4677,29,888,100,26,295,1547,11,2905
4678,8,244,11,13,55,389,10,732
4680,1978,18055,732,145,3250,17175,194,41526
4694,0,58,0,0,15,70,0,146
4695,12,315,14,5,85,434,8,873
4697,3,33,4,0,18,57,6,114
4699,0,108,11,0,51,161,3,338
4700,150,5469,507,38,1006,7068,74,14313
4701,398,15475,577,74,2395,14928,134,33986
4702,270,8876,493,120,2639,9737,146,22284
4703,283,7270,315,67,1635,8633,102,18305
4704,0,47,3,0,18,47,0,111
4705,0,63,28,8,85,96,0,284
4706,6,12,11,0,21,35,0,82
4707,0,47,18,9,26,121,0,223
4709,0,379,27,4,81,262,9,760
4710,51,1302,57,11,295,2098,22,3841
4711,13,804,4,5,131,539,0,1492
4712,7,60,24,10,33,87,5,220
4713,7,75,105,0,3,447,3,638
4714,16,560,47,7,126,1710,19,2485
4715,68,2638,179,25,606,1881,50,5447
4716,0,298,17,4,135,232,4,690
4717,231,1552,114,19,396,1206,25,3540
4718,21,732,88,15,260,671,21,1800
4719,7,283,64,11,149,295,7,822
4720,324,5265,300,33,1052,3533,90,10597
4721,26,1056,175,25,445,1081,24,2826
4722,38,495,105,21,276,480,14,1432
4723,18,419,56,3,175,377,9,1059
4724,0,162,61,10,117,108,6,474
4725,3,477,110,14,140,474,9,1229
4726,0,87,33,0,50,129,3,307
4727,0,78,17,3,50,50,4,207
4728,0,28,9,3,48,69,0,150
4730,11,1183,180,20,282,917,31,2627
4731,0,34,36,0,35,73,3,180
4732,0,25,7,4,24,50,0,117
4733,0,31,9,14,54,49,0,154
4735,0,277,80,12,95,335,14,807
4736,0,28,17,5,15,25,0,88
4737,64,2483,129,23,560,3178,49,6491
4738,9,324,28,13,139,443,9,963
4739,4,85,17,3,43,131,0,283
4740,946,29357,1237,200,5037,26841,353,63965
4741,88,2239,158,36,656,2584,55,5813
4742,48,311,49,20,129,374,3,937
4743,23,230,17,8,57,130,0,467
4744,87,3234,221,27,715,1909,45,6238
4745,77,878,71,5,202,944,8,2201
4746,169,527,80,9,177,419,4,1398
4750,92,2151,33,5,370,1591,14,4266
4751,48,1782,22,13,369,1288,25,3551
4753,54,1464,64,9,391,1097,35,3113
4754,15,708,57,9,179,774,11,1760
4756,3,156,11,5,57,248,4,491
4757,8,62,4,0,43,159,3,273
4798,14,174,11,0,66,274,5,546
4799,12,240,8,8,96,487,3,852
4800,116,3028,260,23,751,3242,48,7480
4801,3,12,187,13,17,25,0,258
4802,386,3166,449,61,786,3092,65,7995
4803,91,110,484,222,105,703,3,1724
4804,45,420,69,7,146,727,16,1425
4805,79,3553,218,44,654,4227,64,8834
4806,15,1265,99,27,273,1489,18,3187
4807,73,3946,247,44,687,3998,72,9070
4808,8,447,23,6,82,338,6,913
4809,3,312,54,8,87,352,5,837
4810,232,8121,923,94,1327,8045,83,18829
4811,79,5014,172,48,706,4688,45,10753
4812,223,6708,455,59,1048,6881,55,15429
4814,395,16742,1211,184,2659,15837,158,37182
4815,170,6949,160,77,1037,7567,76,16033
4816,39,2297,377,33,681,3882,47,7362
4817,231,11959,357,115,1754,9080,97,23597
4818,181,11298,210,151,1718,7442,86,21084
4819,208,389,111,7,218,1121,17,2073
4820,155,2842,288,42,768,4305,54,8454
4821,0,413,86,7,139,428,12,1087
4822,6,237,52,20,108,209,12,639
4823,44,213,134,27,151,198,7,775
4824,100,847,203,30,185,820,27,2209
4828,0,24,38,0,11,76,3,166
4829,0,93,82,5,49,148,8,383
4830,10,176,181,4,34,702,11,1117
4849,9,308,52,4,81,762,5,1220
4850,49,3386,238,66,761,4639,78,9210
4852,64,1049,91,32,286,1501,28,3047
4854,256,1740,138,26,322,1940,40,4463
4855,11,222,8,9,56,309,3,627
4856,0,200,29,4,65,274,7,581
4858,7,526,27,11,95,502,10,1183
4859,0,182,10,4,23,165,9,399
4860,125,3468,211,55,602,4599,68,9124
4861,13,406,46,3,87,635,9,1202
4865,57,2846,142,31,536,2543,42,6206
4868,256,8234,227,100,1187,7135,90,17237
4869,169,6955,155,81,965,5453,95,13873
4870,1002,23983,2536,431,4200,25144,302,57601
4871,84,2541,412,76,760,4688,99,8659
4872,7,941,128,18,468,1646,27,3239
4873,35,1943,222,47,507,2439,46,5245
4874,24,1798,216,25,335,1405,24,3820
4875,93,1020,873,133,138,3218,80,5560
4876,25,486,213,0,69,979,21,1791
4877,61,1672,423,35,459,1759,25,4443
4878,171,5143,197,70,896,4554,64,11087
4879,259,7302,360,99,1488,6055,86,15653
4880,119,3630,300,79,776,5928,84,10909
4881,39,1313,82,29,345,1818,27,3644
4882,16,892,45,19,223,976,8,2186
4883,59,2542,157,38,544,3489,45,6879
4884,8,536,44,13,193,712,8,1507
4885,24,1074,75,14,351,1569,24,3126
4886,8,193,28,7,99,362,3,699
4887,4,495,31,9,129,1003,3,1678
4888,8,597,74,11,181,1644,12,2536
4890,0,266,127,12,48,494,19,958
4891,0,132,66,19,34,217,6,478
4892,16,545,765,32,116,2558,28,4059
4895,14,1081,211,29,172,1980,24,3503
5000,759,1969,2253,60,882,8407,50,14377
5005,0,0,0,0,0,0,0,0
5006,390,1682,586,23,591,3172,34,6472
5007,608,2190,216,16,491,2756,22,6299
5008,774,4082,213,34,745,5597,71,11522
5009,271,1682,82,24,301,1806,26,4198
5010,179,1639,52,15,245,2634,24,4795
5011,683,4164,206,33,744,3848,27,9706
5012,404,3041,92,21,450,4892,43,8937
5013,338,3001,100,27,488,4368,44,8356
5014,489,3970,155,33,686,4629,33,9992
5015,292,2078,97,27,371,2012,27,4899
5016,354,3189,97,29,570,3195,30,7466
5017,174,1381,50,0,258,2264,21,4154
5018,163,2199,56,18,359,2035,20,4863
5019,402,3015,153,26,594,3551,35,7779
5020,105,1076,21,5,225,1178,10,2622
5021,176,1897,58,15,410,2569,21,5140
5022,667,5473,231,48,1120,5671,61,13271
5023,700,5301,154,48,926,6787,83,13994
5024,552,4849,139,38,954,5158,56,11756
5025,356,2838,116,9,539,3043,28,6936
5031,771,3043,403,22,625,3721,34,8620
5032,707,4283,224,44,825,4613,57,10752
5033,492,2716,236,20,461,3241,31,7195
5034,723,3065,438,30,817,3337,26,8434
5035,547,1815,223,13,419,2120,26,5172
5037,691,3392,181,23,694,4158,39,9176
5038,1150,5169,236,56,991,5335,56,13002
5039,521,2835,167,27,582,3132,46,7316
5040,72,756,32,6,166,1110,7,2148
5041,635,4559,303,31,1038,4293,39,10892
5042,520,3079,170,20,689,4702,41,9215
5043,1021,5411,240,41,1081,8317,64,16174
5044,490,3712,147,35,765,4043,40,9227
5045,830,5322,425,58,1132,5797,62,13616
5046,566,2730,136,24,584,3785,25,7853
5047,417,2508,114,21,525,3325,31,6943
5048,696,4334,195,40,1003,5748,44,12074
5049,482,3457,99,29,818,3234,31,8140
5050,240,1718,74,17,466,2201,18,4739
5051,623,5115,141,34,1160,4163,40,11279
5052,245,2189,79,15,554,2197,12,5295
5061,440,3097,479,36,779,3269,32,8124
5062,650,4903,399,48,1244,5032,43,12311
5063,601,3776,628,38,907,4365,23,10334
5064,309,3021,180,16,715,4002,22,8264
5065,366,2996,333,28,686,3963,33,8410
5066,395,3911,198,23,928,4053,33,9535
5067,571,2956,722,33,779,3719,36,8823
5068,607,3790,326,30,874,4690,44,10358
5069,401,2709,424,26,614,2777,27,6973
5070,796,4455,301,40,830,5751,50,12221
5072,585,4116,150,42,895,4788,24,10599
5073,706,4999,152,42,969,5775,66,12701
5074,654,4018,130,37,688,5234,53,10816
5075,603,3487,82,26,608,4077,28,8903
5076,434,3542,49,32,657,2930,42,7681
5081,385,2969,239,25,675,3555,24,7871
5082,847,5301,340,57,980,4858,47,12426
5083,424,2778,132,16,483,2340,19,6185
5084,409,2541,120,34,383,4725,53,8261
5085,924,6373,169,51,986,7686,71,16255
5086,898,5202,173,43,874,6025,56,13255
5087,799,3593,136,28,612,4299,45,9508
5088,177,1061,28,6,178,1262,12,2723
5089,312,2472,38,29,462,2079,18,5405
5090,318,2335,40,13,425,3615,18,6768
5091,371,2643,53,20,492,2623,35,6235
5092,1005,5967,138,52,1013,6258,52,14485
5093,399,2857,49,26,500,3588,25,7446
5094,23,254,16,4,34,429,5,765
5095,997,7352,215,60,1156,6802,54,16636
5096,464,4699,72,41,766,4750,37,10828
5097,685,4846,97,38,841,4716,44,11263
5098,475,3810,57,31,596,5069,41,10092
5106,0,3,13,0,3,183,0,199
5107,502,5364,74,46,707,6806,76,13583
5108,993,12399,205,90,1674,16645,160,32164
5109,582,6921,98,54,1038,8227,81,17014
5110,143,2948,71,32,431,3253,42,6923
5111,0,124,93,8,13,42,0,276
5112,414,4634,128,29,749,9614,78,15639
5113,364,3689,84,31,518,9847,78,14607
5114,814,11467,157,76,1812,11254,106,25696
5115,274,3458,34,21,539,3190,34,7546
5116,204,3030,77,17,556,3616,46,7546
5117,50,1193,16,9,187,760,16,2223
5118,402,6633,166,57,1145,6644,63,15105
5120,13,621,46,10,153,708,11,1568
5121,20,516,29,7,124,707,11,1408
5125,901,7464,100,59,1318,5625,63,15529
5126,338,2681,41,21,487,2205,23,5798
5127,384,3107,45,24,559,2336,24,6475
5131,39,375,15,6,82,304,0,826
5132,13,142,16,0,46,128,6,345
5133,8,150,4,0,44,118,5,323
5134,8,142,8,0,43,147,4,355
5136,15,164,9,0,49,178,3,420
5137,14,202,11,4,70,177,0,478
5138,0,119,12,0,41,73,0,237
5139,5,84,9,0,22,65,0,187
5140,11,171,4,6,47,99,0,330
5141,20,225,15,5,88,193,3,545
5142,11,197,9,0,64,167,5,461
5144,9,159,11,5,40,152,0,366
5150,0,16,0,0,4,29,0,52
5151,11,135,9,0,29,110,6,298
5152,223,2139,65,13,532,1912,10,4883
5153,139,2381,67,34,691,1930,31,5267
5154,127,1126,23,6,303,1078,7,2671
5155,151,1442,28,11,369,999,16,3017
5156,28,371,8,9,75,282,0,765
5157,50,1135,36,14,299,895,5,2432
5158,1238,9706,138,84,1843,6922,90,20025
5159,1123,12796,148,95,2440,10409,91,27101
5160,0,3,0,0,3,10,0,26
5161,308,3631,66,32,646,3665,23,8372
5162,980,11788,185,79,2159,12760,112,28065
5163,364,4396,61,45,786,5847,40,11545
5164,133,1150,31,6,215,2748,21,4309
5165,154,1494,53,11,285,2443,31,4465
5166,54,525,20,10,100,860,12,1581
5167,173,1934,45,13,370,2202,15,4749
5168,154,1748,30,11,364,2103,12,4420
5169,538,5720,136,62,1131,5747,74,13400
5170,31,407,8,6,111,403,3,968
5171,80,1924,87,24,587,2207,13,4920
5172,61,1341,73,5,460,1253,27,3217
5173,213,3782,99,38,978,4648,66,9832
5174,38,968,18,10,252,1058,7,2354
5201,25,747,29,10,197,576,8,1594
5202,4,303,14,0,90,286,4,708
5203,0,300,24,4,149,602,5,1084
5204,8,650,32,14,258,1513,10,2493
5210,13,581,24,7,167,561,8,1361
5211,56,3524,187,39,1047,8343,52,13260
5212,3,459,48,3,130,1192,13,1844
5213,7,379,20,0,116,438,3,962
5214,26,1839,119,21,536,4807,37,7382
5220,0,62,3,0,18,41,0,121
5221,0,50,9,0,29,152,0,242
5222,3,161,19,5,75,277,0,545
5223,15,1056,168,15,458,1284,18,3022
5231,19,469,13,3,128,384,13,1028
5232,11,174,18,0,43,112,7,359
5233,33,511,24,3,166,502,7,1245
5234,13,481,26,0,120,398,7,1047
5235,18,825,40,13,253,898,13,2062
5236,0,97,0,0,44,118,0,262
5237,0,109,3,0,41,134,0,283
5238,24,1048,67,10,275,2076,30,3524
5240,8,173,18,0,59,146,0,405
5241,34,880,51,3,199,855,5,2035
5242,34,589,18,5,167,526,5,1350
5243,15,321,14,0,99,259,3,712
5244,63,1447,96,24,438,1415,21,3500
5245,73,967,55,8,257,1208,16,2579
5250,83,1311,25,8,347,934,27,2726
5251,391,5015,165,40,1178,4801,64,11657
5252,148,2551,44,14,600,1671,27,5059
5253,54,5929,269,52,939,7967,90,15300
5254,17,802,34,10,248,832,20,1967
5255,71,3024,156,39,778,3425,40,7536
5256,6,372,19,6,86,684,5,1176
5259,10,302,49,5,103,451,5,921
5260,5,461,41,12,101,848,13,1481
5261,0,100,26,3,64,97,4,294
5262,0,149,10,5,68,83,7,321
5263,0,58,9,4,22,29,0,121
5264,8,365,50,12,104,514,5,1050
5265,0,115,18,0,70,133,3,337
5266,0,176,37,13,88,169,4,483
5267,5,680,86,24,215,519,15,1539
5268,0,1311,98,16,331,1121,39,2919
5269,0,74,6,4,44,86,0,207
5270,0,226,20,5,99,133,4,496
5271,12,2773,169,31,681,2248,66,5987
5272,6,258,43,12,133,205,0,652
5273,0,18,4,0,36,23,0,84
5275,0,717,81,13,258,943,19,2033
5276,3,369,39,12,139,463,6,1028
5277,3,991,69,13,266,985,23,2350
5278,0,151,12,9,51,198,4,422
5279,0,146,10,0,55,215,0,429
5280,17,2209,100,19,645,3069,36,6107
5290,82,9193,330,69,1388,9309,121,20490
5291,13,3342,118,35,856,2948,42,7363
5301,0,124,21,4,117,191,4,456
5302,5,257,38,12,84,312,4,703
5303,0,64,6,3,32,61,4,165
5304,0,258,38,4,76,265,5,642
5306,0,26,0,0,14,13,0,58
5307,0,117,23,0,78,254,0,479
5308,0,32,0,3,36,30,4,115
5309,0,33,8,0,25,64,7,132
5310,0,12,0,0,5,30,0,52
