MTW06P Method of Travel to Work (6 travel modes),Public Transport,Vehicle,Active Transport,Other Mode,Worked at home or Did not go to work,Not applicable,Mode not stated,Total
2464,22,1571,154,25,429,3651,30,5877
2465,0,86,9,0,24,127,0,248
2466,0,249,47,6,70,1155,12,1542
2469,9,807,84,22,327,2183,26,3468
2470,37,4301,233,27,839,6636,82,12155
2471,5,715,33,7,185,1051,23,2014
2472,6,510,34,9,160,783,18,1516
2473,5,812,84,7,171,1541,17,2645
2474,29,1572,118,26,512,2994,52,5293
2475,0,60,11,0,29,210,4,323
2476,9,164,42,11,84,341,6,653
2477,41,3905,152,44,934,4854,51,9978
2478,136,8858,573,62,1948,12068,158,23805
2479,29,1401,119,23,622,1638,26,3858
2480,199,14428,749,115,3053,17858,197,36605
2481,62,3295,516,60,1259,4737,108,10035
2482,26,1559,149,25,587,2747,39,5135
2483,40,3175,162,31,1003,4314,81,8807
2484,73,5247,299,60,1477,8159,140,15457
2485,128,3767,269,51,758,7633,71,12675
2486,217,9662,293,69,1962,14228,151,26580
2487,96,4121,235,53,1052,5359,63,10977
2488,28,1161,75,12,229,1100,5,2602
2489,42,2155,80,13,500,2881,28,5704
2490,4,237,17,0,58,226,0,546
2500,1730,11490,1719,85,2541,17515,143,35227
2502,220,3138,81,22,459,6053,65,10029
2505,99,1403,50,7,238,2356,28,4180
2506,139,2231,34,13,372,3321,60,6164
2508,762,3143,115,14,674,2296,30,7033
2515,706,3526,164,31,950,3438,33,8843
2516,283,2048,101,14,476,1785,13,4718
2517,461,4579,121,17,904,4839,53,10977
2518,575,6095,223,23,1126,7606,100,15751
2519,556,5381,228,33,1046,6725,54,14023
2522,14,27,15,0,36,213,0,299
2525,294,3994,89,16,757,4086,31,9277
2526,329,5646,95,35,993,5546,55,12702
2527,288,8010,120,45,1332,7070,68,16928
2528,306,6827,182,49,1117,11076,103,19661
2529,404,9674,188,58,1717,8514,97,20647
2530,610,11006,149,55,1969,11661,103,25548
2533,195,5146,223,31,1260,6130,52,13038
2534,58,1779,84,8,550,2183,37,4707
2535,50,1978,118,15,617,3521,30,6325
2536,69,4630,238,43,1037,8928,78,15029
2537,39,3288,192,36,754,5809,61,10169
2538,13,585,60,5,206,1134,8,2016
2539,53,4706,231,35,1219,8913,104,15266
2541,118,7212,414,53,1329,11587,114,20823
2545,0,307,22,0,90,475,7,903
2546,17,2000,152,27,658,5064,51,7964
2548,23,2133,155,26,575,3823,31,6769
2549,9,1156,66,14,292,1570,20,3124
2550,51,4680,362,56,1381,6436,86,13050
2551,6,925,83,9,207,1708,27,2967
2555,11,52,3,0,19,87,0,170
2556,65,890,37,14,171,855,18,2047
2557,402,3164,73,27,666,2479,79,6889
